Archive,PedObserv_ID,Location_ID,DateTime,Direction_1,Direction_2,Total_of_Directions,Sensor_Name
pedestrian-counting-system-monthly-counts-per-hour.zip,302320241224,30,2024-12-24T23:00:00,312,258,570,Lon189_T
pedestrian-counting-system-monthly-counts-per-hour.zip,6520241228,6,2024-12-28T05:00:00,39,43,82,FliS_T
pedestrian-counting-system-monthly-counts-per-hour.zip,42620241209,42,2024-12-09T06:00:00,18,33,51,UM1_T
pedestrian-counting-system-monthly-counts-per-hour.zip,281520241220,28,2024-12-20T15:00:00,647,766,1413,VAC_T
pedestrian-counting-system-monthly-counts-per-hour.zip,91720241226,9,2024-12-26T17:00:00,67,58,125,Col700_T
pedestrian-counting-system-monthly-counts-per-hour.zip,1361720241206,136,2024-12-06T17:00:00,88,38,126,BirFed1120_T
pedestrian-counting-system-monthly-counts-per-hour.zip,662220241226,66,2024-12-26T22:00:00,459,287,746,QVN_T
pedestrian-counting-system-monthly-counts-per-hour.zip,181220241215,18,2024-12-15T12:00:00,133,87,220,Col12_T
pedestrian-counting-system-monthly-counts-per-hour.zip,166720241227,166,2024-12-27T07:00:00,7,9,16,Spen484_T
pedestrian-counting-system-monthly-counts-per-hour.zip,661420241201,66,2024-12-01T14:00:00,1452,1567,3019,QVN_T
pedestrian-counting-system-monthly-counts-per-hour.zip,172320241208,17,2024-12-08T23:00:00,17,21,38,Col15_T
pedestrian-counting-system-monthly-counts-per-hour.zip,76220241216,76,2024-12-16T02:00:00,2,1,3,KenMac_T
pedestrian-counting-system-monthly-counts-per-hour.zip,166620241215,166,2024-12-15T06:00:00,5,7,12,Spen484_T
pedestrian-counting-system-monthly-counts-per-hour.zip,134220241224,134,2024-12-24T02:00:00,12,11,23,Spen201_T
pedestrian-counting-system-monthly-counts-per-hour.zip,63720241211,63,2024-12-11T07:00:00,66,98,164,Bou231_T
pedestrian-counting-system-monthly-counts-per-hour.zip,591220241212,59,2024-12-12T12:00:00,238,240,478,RMIT_T
pedestrian-counting-system-monthly-counts-per-hour.zip,391520241221,39,2024-12-21T15:00:00,68,40,108,AlfPl_T
pedestrian-counting-system-monthly-counts-per-hour.zip,9820241228,9,2024-12-28T08:00:00,34,33,67,Col700_T
pedestrian-counting-system-monthly-counts-per-hour.zip,662320241214,66,2024-12-14T23:00:00,396,386,782,QVN_T
pedestrian-counting-system-monthly-counts-per-hour.zip,143920241221,143,2024-12-21T09:00:00,76,150,226,Spencer_T
pedestrian-counting-system-monthly-counts-per-hour.zip,2520241213,2,2024-12-13T05:00:00,4,14,18,Bou283_T
pedestrian-counting-system-monthly-counts-per-hour.zip,691920241223,69,2024-12-23T19:00:00,82,59,141,FLDegC_T
pedestrian-counting-system-monthly-counts-per-hour.zip,842020241203,84,2024-12-03T20:00:00,692,945,1637,ElFi_T
